"GSE","suppl_exists","suppl_empty","has_filelist","has_BPM.x","decision","reason","has_RAW_tar","has_CEL","has_GPR","has_IDAT","has_BPM.y","has_TXT","has_CSV","has_XLSX","has_matrix","file_types","inferred_type"
"GSE56885",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE57691",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE58121",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE58294",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE58435",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE59444",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE60436",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE61616",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE63881",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE64634",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE66271",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE68004",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
